X,Y,osm_id,code,fclass,name,ref,oneway,maxspeed,layer,bridge,tunnel,distance,angle
120.490471532443,31.3248744594331,"24435706",5114,secondary,金山路,,B,0,0,F,F,0.001000000000000,78.298688181102492
120.495415034036,31.3255863961912,"24435706",5114,secondary,金山路,,B,0,0,F,F,0.006000000000000,84.974607388386133
120.500395813907,31.3260243823532,"24435706",5114,secondary,金山路,,B,0,0,F,F,0.011000000000000,84.974607388386133
120.505376593778,31.3264623685152,"24435706",5114,secondary,金山路,,B,0,0,F,F,0.016000000000000,84.974607388386133
120.510357373648,31.3269003546772,"24435706",5114,secondary,金山路,,B,0,0,F,F,0.021000000000000,84.974607388386133
120.515338153519,31.3273383408392,"24435706",5114,secondary,金山路,,B,0,0,F,F,0.026000000000000,84.974607388386133
120.520318472265,31.3277809563343,"24435706",5114,secondary,金山路,,B,0,0,F,F,0.031000000000000,83.648525293461191
120.525287782109,31.3283340925558,"24435706",5114,secondary,金山路,,B,0,0,F,F,0.036000000000000,83.648525293461191
120.530269011305,31.3287591516807,"24435706",5114,secondary,金山路,,B,0,0,F,F,0.041000000000000,85.717766834942196
120.535255052984,31.3291324992124,"24435706",5114,secondary,金山路,,B,0,0,F,F,0.046000000000000,85.717766834942196
120.506332256861,31.3050218815684,"24435706",5114,secondary,金山路,,B,0,0,F,F,0.001000000000000,83.308724402463682
120.511303353419,31.3055562677766,"24435706",5114,secondary,金山路,,B,0,0,F,F,0.006000000000000,84.486018766937278
120.516281975184,31.3060016537887,"24435706",5114,secondary,金山路,,B,0,0,F,F,0.011000000000000,84.172115326875200
120.521256132229,31.3065093561542,"24435706",5114,secondary,金山路,,B,0,0,F,F,0.016000000000000,84.172115326875200
120.526236949607,31.3069436087222,"24435706",5114,secondary,金山路,,B,0,0,F,F,0.021000000000000,85.465210094369667
120.531201451522,31.3074158523129,"24435706",5114,secondary,金山路,,B,0,0,F,F,0.026000000000000,86.991714831418889
120.536194561304,31.3076782541179,"24435706",5114,secondary,金山路,,B,0,0,F,F,0.031000000000000,86.991714831418889
120.541171046283,31.3081427359326,"24435706",5114,secondary,金山路,,B,0,0,F,F,0.036000000000000,83.602201090058003
120.515153003878,31.2967455526529,"24435706",5114,secondary,金山路,,B,0,0,F,F,0.001000000000000,93.153401389978242
120.520146811003,31.2965490066345,"24435706",5114,secondary,金山路,,B,0,0,F,F,0.006000000000000,88.857854674347934
120.52514561153,31.2966563574129,"24435706",5114,secondary,金山路,,B,0,0,F,F,0.011000000000000,88.070626124762342
120.530142776964,31.2968246952278,"24435706",5114,secondary,金山路,,B,0,0,F,F,0.016000000000000,88.070626124762342
120.53513510563,31.2970297912279,"24435706",5114,secondary,金山路,,B,0,0,F,F,0.021000000000000,86.142300738985483
120.540123776739,31.2973661847014,"24435706",5114,secondary,金山路,,B,0,0,F,F,0.026000000000000,86.142300738985483
120.5401419857,31.3201627773079,"24435706",5114,secondary,金山路,,B,0,0,F,F,0.001000000000000,264.554747872357950
120.535164549063,31.3196883044212,"24435706",5114,secondary,金山路,,B,0,0,F,F,0.006000000000000,264.554747872357950
120.530187112425,31.3192138315344,"24435706",5114,secondary,金山路,,B,0,0,F,F,0.011000000000000,264.554747872357950
120.525209675788,31.3187393586477,"24435706",5114,secondary,金山路,,B,0,0,F,F,0.016000000000000,264.554747872357950
120.530855040212,31.3145894764938,"24435706",5114,secondary,金山路,,B,0,0,F,F,0.001000000000000,82.813453316143594
120.535825003564,31.3150927935687,"24435706",5114,secondary,金山路,,B,0,0,F,F,0.006000000000000,82.813455542990226
120.545341582459,31.2823862197468,"24435706",5114,secondary,金山路,,B,0,0,F,F,0.001000000000000,248.280130448621037
120.540680274064,31.2805976898165,"24435706",5114,secondary,金山路,,B,0,0,F,F,0.006000000000000,262.198277418493205
120.535726555265,31.2799189630218,"24435706",5114,secondary,金山路,,B,0,0,F,F,0.011000000000000,262.198277418493205
120.533580879984,31.2744095178815,"24435706",5114,secondary,金山路,,B,0,0,F,F,0.001000000000000,87.487576050490759
120.538575668513,31.2746357033027,"24435706",5114,secondary,金山路,,B,0,0,F,F,0.006000000000000,85.892130296704650
120.543565697454,31.2749461399008,"24435706",5114,secondary,金山路,,B,0,0,F,F,0.011000000000000,87.216599016575444
120.551689081123,31.2510434487513,"24435706",5114,secondary,金山路,,B,0,0,F,F,0.001000000000000,256.060145549486265
120.546952148174,31.249459521569,"24435706",5114,secondary,金山路,,B,0,0,F,F,0.006000000000000,248.322289051633021
120.543904209825,31.2457789414123,"24435706",5114,secondary,金山路,,B,0,0,F,F,0.011000000000000,210.465915071883614
120.539898774043,31.2432043376725,"24435706",5114,secondary,金山路,,B,0,0,F,F,0.016000000000000,259.563107570050988
120.548794380035,31.2607353029303,"24435706",5114,secondary,金山路,,B,0,0,F,F,0.001000000000000,255.858380875151028
120.543841853298,31.2602644003138,"24435706",5114,secondary,金山路,,B,0,0,F,F,0.006000000000000,271.152347480161382
120.538878638222,31.2598540143452,"24435706",5114,secondary,金山路,,B,0,0,F,F,0.011000000000000,258.063005292007233
120.540864582714,31.3580010900223,"24435706",5114,secondary,金山路,,B,0,0,F,F,0.001000000000000,130.349319402974970
120.544675139213,31.3547638598523,"24435706",5114,secondary,金山路,,B,0,0,F,F,0.006000000000000,130.349319402974970
120.548379789079,31.351406567201,"24435706",5114,secondary,金山路,,B,0,0,F,F,0.011000000000000,132.481453856258128
120.551733913387,31.3477204647524,"24435706",5114,secondary,金山路,,B,0,0,F,F,0.016000000000000,141.797601999665318
