FID,Join_Count,TARGET_FID,Id,osm_id,code,fclass,name,ref,oneway,maxspeed,layer,bridge,tunnel,pid,Lon,Lat
76,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5455045,31.28725169
77,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5463514,31.28875934
78,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5511304,31.29012055
79,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5465269,31.2816833
80,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.548329,31.27704681
81,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5473329,31.28286105
82,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5523156,31.28321873
83,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5466993,31.32786843
84,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5473406,31.32290972
85,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5542249,31.32118159
86,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5492259,31.32108123
87,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5477305,31.31998207
88,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5492324,31.31593034
89,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5542056,31.31644725
90,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5483621,31.31483472
91,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5491474,31.30991042
92,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5499711,31.27526526
93,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.554963,31.27554943
94,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5490686,31.27414302
95,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5495083,31.26916239
96,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5497789,31.26417047
97,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5499395,31.25986691
98,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5592377,31.30875469
99,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5542989,31.30925876
100,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5500623,31.30772986
101,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5520703,31.3031508
102,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.550994,31.26133411
103,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5558341,31.26253741
104,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5512293,31.3553827
105,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.554916,31.3520051
106,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5586027,31.3486275
107,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5622894,31.34524989
108,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5566887,31.25533786
109,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5520302,31.25324208
110,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.552907,31.33909097
111,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5528282,31.34056069
112,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5535905,31.25151813
113,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5616461,31.29985996
114,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5566946,31.2991851
115,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5532187,31.29783279
116,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5627898,31.29602668
117,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5577998,31.29571015
118,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5544859,31.29133789
119,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5556777,31.34144977
120,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5582923,31.33595063
121,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.56448,31.29122939
122,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5595268,31.29062781
123,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5548593,31.28924834
124,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5553922,31.28427682
125,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.563367,31.32562797
126,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.558959,31.32326798
127,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5556155,31.32023124
128,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5671618,31.2851974
129,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5622333,31.28435431
130,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5573049,31.28351123
131,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5556229,31.28226573
132,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5562365,31.27730459
133,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5569934,31.27239295
134,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5576387,31.26743477
135,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5562041,31.26157115
136,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5574995,31.25674228
137,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.55707,31.34519079
138,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5571228,31.34155353
139,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5577026,31.31608828
140,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5598883,31.31159519
141,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5582342,31.25401403
142,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5673663,31.26401108
143,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5623762,31.2638064
144,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5688598,31.25897597
145,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5640442,31.25772714
146,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5604462,31.2542918
147,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5605768,31.33682726
148,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5703187,31.30958466
149,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5653406,31.30917608
150,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.560631,31.30746816
151,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5619752,31.30265231
152,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5633791,31.29788558
153,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5650077,31.34155303
154,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5620545,31.33684983
155,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5657284,31.33346097
156,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5733367,31.29831542
157,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5685918,31.29681558
158,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5642534,31.29504795
159,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5660625,31.29042579
160,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5646372,31.32706375
161,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5652401,31.32607764
162,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5665747,31.34212744
163,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5672282,31.34708482
164,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5713754,31.34455188
165,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5686775,31.32862072
166,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5684982,31.32428504
167,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5699647,31.31951189
168,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5714168,31.27057924
169,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5698139,31.26597951
170,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5686867,31.263233
171,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.569465,31.28548122
172,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5743802,31.28531255
173,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5687667,31.28431018
174,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5708248,31.27975344
175,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5724878,31.27506357
176,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.569438,31.3273497
177,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5716647,31.33983419
178,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5699104,31.335164
179,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5727159,31.33194447
180,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5868565,31.26603627
181,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5819066,31.2653297
182,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5773561,31.26345952
183,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5732588,31.26059491
184,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5712246,31.32790589
185,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5835757,31.31858898
186,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5785922,31.31818341
187,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5736011,31.31788499
188,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5703157,31.31465535
189,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.584452,31.31498762
190,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5794772,31.31448639
191,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5744909,31.31412526
192,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5705055,31.31270815
193,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5725488,31.30971072
194,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5775413,31.30998401
195,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5825339,31.3102573
196,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5717615,31.30854787
197,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5842341,31.3408844
198,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5792351,31.34078377
199,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5742363,31.34071318
200,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5731392,31.27145002
201,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5778712,31.27302512
202,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5828109,31.27379578
203,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5742229,31.30377537
204,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5791869,31.30437397
205,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5841572,31.3049181
206,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5733491,31.30260414
207,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5869344,31.29996073
208,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5819712,31.29935547
